Date,Salinity_psu,TALK_mEq/L,TALK_umol/Kg,Measured-calculated
29-Oct,29.03,2.17,2116.701,-0.01
8-May,29.27,2.176,2122.554,-0.008
5-Feb,29.32,2.153,2100.119,0.007
9-Feb,29.39,2.135,2082.561,-0.021
4-Jun,29.6,2.192,2138.161,0.012
22-Apr,29.78,2.202,2147.915,0.003
7-May,29.82,2.2,2145.965,-0.004
22-May,29.91,2.191,2137.186,-0.015
9-Jan,29.92,2.3,2243.508,0.001
17-Jul,30,2.207,2152.793,-0.004
16-Jul,30.27,2.187,2133.284,-0.034
5-Aug,30.4,2.225,2170.351,0.011
8-Apr,30.43,2.218,2163.523,0.003
18-Jun,30.48,2.206,2151.817,0
17-Jun,30.62,2.215,2160.596,0.005
2-Jul,30.71,2.224,2169.375,-0.01
13-Nov,30.76,2.221,2166.449,-0.018
7-May,30.77,2.224,2169.375,-0.013
22-Apr,30.79,2.222,2167.424,-0.01
5-Jun,30.79,2.215,2160.596,-0.007
16-Oct,30.81,2.209,2154.744,0.004
16-Dec,30.85,2.209,2154.744,-0.03
17-Dec,30.85,2.226,2171.326,-0.013
17-Sep,30.87,2.239,2184.007,0.011
8-Jan,30.9,2.336,2278.624,0.002
22-Apr,30.98,2.226,2171.326,-0.012
16-Dec,31.02,2.228,2173.277,-0.017
22-May,31.05,2.241,2185.958,-0.008
19-Aug,31.11,2.25,2194.737,-0.015
18-Jun,31.15,2.228,2173.277,0.001
29-Oct,31.19,2.235,2180.105,-0.005
5-Aug,31.23,2.231,2176.203,-0.014
9-Feb,31.23,2.202,2147.915,-0.015
5-Jun,31.25,2.257,2201.565,0.021
4-Jun,31.3,2.219,2164.498,-0.019
22-May,31.38,2.255,2199.614,-0.006
15-Oct,31.54,2.223,2168.4,0
18-Aug,31.56,2.252,2196.687,0.001
8-Apr,31.57,2.228,2173.277,-0.034
8-May,31.63,2.247,2191.81,-0.02
2-Jul,31.73,2.245,2189.859,-0.024
3-Sep,31.77,2.263,2207.417,0.004
3-Sep,31.78,2.264,2208.393,0.005
12-Nov,31.85,2.236,2181.08,-0.035
17-Jun,31.88,2.256,2200.589,0.005
28-Oct,31.88,2.248,2192.786,-0.011
5-Aug,32.05,2.38,2321.544,0.104
16-Sep,32.06,2.273,2217.172,0.009
16-Jul,32.19,2.308,2251.312,0.016
12-Nov,32.21,2.252,2196.687,-0.033
16-Sep,32.29,2.277,2221.073,0.007
28-Oct,32.29,2.252,2196.687,-0.019
23-Apr,32.48,2.272,2216.196,-0.015
18-Aug,32.6,2.252,2196.687,-0.037
15-Oct,32.79,2.25,2194.737,-0.004
5-Jun,16.85,1.743,1700.189,-0.009
9-Apr,18.79,1.862,1816.266,0.018
