Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,1/2/20 0:15, ,12,0,43.1,0,27.7,0,91.4,0,8.3,0,1.34,0,7.9,0,6,0
sfbrbwq,1/2/20 0:30, ,12,0,43.13,0,27.7,0,91.6,0,8.3,0,1.41,0,7.9,0,5,0
sfbrbwq,1/2/20 0:45, ,12,0,43.13,0,27.7,0,91.4,0,8.3,0,1.46,0,7.9,0,5,0
sfbrbwq,1/2/20 1:00, ,11.9,0,43.12,0,27.7,0,91.3,0,8.3,0,1.48,0,7.9,0,6,0
sfbrbwq,1/2/20 1:15, ,11.9,0,43.16,0,27.7,0,90.9,0,8.3,0,1.6,0,7.9,0,5,0
sfbrbwq,1/2/20 1:30, ,11.9,0,43.23,0,27.8,0,90.9,0,8.3,0,1.65,0,7.9,0,5,0
sfbrbwq,1/2/20 1:45, ,11.9,0,43.26,0,27.8,0,90.7,0,8.2,0,1.72,0,7.9,0,5,0
sfbrbwq,1/2/20 2:00, ,11.9,0,43.27,0,27.8,0,90.8,0,8.2,0,1.77,0,7.9,0,5,0
sfbrbwq,1/2/20 2:15, ,11.9,0,43.27,0,27.8,0,90.2,0,8.2,0,1.86,0,7.9,0,5,0
sfbrbwq,1/2/20 2:30, ,11.9,0,43.23,0,27.8,0,90.4,0,8.2,0,1.9,0,7.9,0,5,0
sfbrbwq,1/2/20 2:45, ,11.9,0,43.22,0,27.8,0,90.3,0,8.2,0,1.99,0,7.9,0,5,0
sfbrbwq,1/2/20 3:00, ,11.9,0,43.23,0,27.8,0,90.2,0,8.2,0,2.03,0,7.9,0,5,0
sfbrbwq,1/2/20 3:15, ,11.9,0,43.21,0,27.8,0,90.3,0,8.2,0,2.09,0,7.9,0,5,0
sfbrbwq,1/2/20 3:30, ,11.9,0,43.16,0,27.7,0,90.8,0,8.2,0,2.13,0,7.9,0,5,0
sfbrbwq,1/2/20 3:45, ,11.9,0,43.23,0,27.8,0,90.4,0,8.2,0,2.16,0,7.9,0,5,0
sfbrbwq,1/2/20 4:00, ,11.9,0,43.22,0,27.8,0,90.1,0,8.2,0,2.19,0,7.9,0,5,0
sfbrbwq,1/2/20 4:15, ,11.9,0,43.22,0,27.8,0,89.9,0,8.2,0,2.23,0,7.9,0,5,0
sfbrbwq,1/2/20 4:30, ,11.9,0,43.24,0,27.8,0,89.8,0,8.1,0,2.28,0,7.9,0,6,0
